Obverse,Reverse,tag
re-,"1、回、向后
return             回来、返回
retreat            后退
recall              召回，回忆
regress           倒退，退步
reflect            回想
retract            缩回，取回
reclaim            收回
rebound          弹回，跳回
2、再、重复、重新
reprint            重印，再版
reexchange       再交换
reproduction      再生产
rearm            重新武装
rebuild           重建，再建
reconsider        重新考虑
rebirth           再生，新生
reexamination     复试，再考
renumber        重编号码
remarry          再婚
restart           重新开始
rebroadcast      重播，再播
3、相反、反对
reaction         反动，反应
reverse         反转的，颠倒的
resist           反抗，抵抗
revolt           反叛，造反
rebel            反叛，谋反
resent          不满，忿恨
",prefix
retro-向后、回、反,"retrogress        倒退，退步
retrograde       后退，倒退
retroact          倒行，起反作用
retrospect        回顾
retroject         向后抛掷
retrocession     退后，后退
retroflex         反曲的
retroversion      后倾，翻转
",prefix
se-离开、分开,"seduce          引诱走，拐骗
select           选出
seclude         使退隐
segregate       分离，分开
secede         脱离，退出
secern          区分，分开
",prefix
semi-半,"semiweekly      半周刊
semiconductor   半导体
semimonthly     半月刊
semicircle       半圆
semiofficial      半官方的
semiliterate      半文盲的
semi-colony     半殖民地
semicommercial  半商业性的
semimetal       半金属
semicivilized     半开化的
semiskilled       半熟练的
semiautomatic    半自动的
",prefix
sept-七（亦作septi-及septem）,"setpangle        七角形
septennial        每七年的
septeisyllable     七音节词
septempartite     分七部分的
septilateral        七边的
septfoil           七叶形
September       (古罗马七月)九月
septuple          七倍的
",prefix
sex-六（亦作sexi-）,"sexangle          六角形
sexdigitism        六指（或趾）
sexisyllable        六音节词
sexpartite         分为六部分的
sexivalence       （化学）六价
sexfoil            六叶形
sexcentenary      六百（年）的
sexennial         每六年的
sexto             六开本
Sino-中国
Sino-American     中美的
Sino-German      中德的
Sino-Russian      中俄的
Sino-Japanese     中日的
Sino-Tibetan       汉藏语系
Sino-French       中法的
Sinomania         中国热
Sinology           汉学，中国问题研究
Sinophile          赞成中国的（人）
Sinophobe        厌恶中国的（人）
",prefix
step-后、继、后父或后母所生的、前妻或前夫所生的,"stepfather         后父，继父
stepchild          前夫（或前妻）的孩子
stepmother        后母，继母
stepson           前夫（或前妻）之子
stepbrother        后父（或后母）之子，异父（母）兄弟
stepdaughter       前夫（或前妻）之女
stepsister         后你（或后母）之女，异父（母）姐妹
",prefix
stereo-立体,"stereosonic       立体声的
stereograph       立体照片
stereophony      立体音响
stereography     立体摄影术
stereogram       立体图
stereotelevision   立体电视
stereotape        立体声磁带
stereoproject     立体投影
",prefix
sub-,"1、下
subway          地下铁道
substandard     标准以下的
substructure     下层建筑
subsurface      表面下的
submarine       海面下的
subnormal       低于正常的
subsoil          下层土，底土
sub-zero        零度以下的
sub-cloud       云下的
subconscious    下意识的
substratum      下层
subaverage      低于一般水平的
subglacial        冰川下的
submontane     山脚下的
2、次、亚、准
subcontinent     次大陆
subcollege      准大学程度的
subsonic        亚音速的
subatomic       亚原子的
subtropics       亚热带
submetallic      亚金属的
subfamily        （生物）亚科
3、稍、略、微
subacid         略酸的
subacute       略尖的
subangular      稍有棱角的
subconical      略作圆锥形的
subcylindrical   略呈圆筒状的
subarid         略干燥的
4、副、分支、下级
subworker       副手，助手
subbranch       分支，支店
subagent        副代理人
suboffice        分办事处
subeditor        副编辑
subarea         分区
subhead        副标题
subdepartment   分部，支局
subtitle          （书的）副名
subcommittee     小组委员会
subdean         副教务长
subofficer         下级官员
5、接近
subcentral        接近中心的
subequal         接近相等的
subadult          接近成年的
subarctic         近北极圈的
subteen         将近十三岁的小孩
subequatorial     近赤道的
6、更进一层、再
subdivide        再分，细分
sublet           转租，再租
subculture       再次培养
subtenant       转租租户
7、用于化学名词，表示化合物成分含量少的
subcarbide      低碳化物
suboxide        低氧化物
subchloride      低氯化物
subsulphide     低硫化物
",prefix
super-,"1、超、超级
superspeed      超高速的
supertrain       超高速火车
supersized      超大型的
superhighway    超级公路
supermarket     超级市场
superprofit      超额利润
superpower     超级大国
supersecrecy    绝密
supercountry    超级大国
supersonic      超音速的
supercity        超级城市
supernatural     超自然的
2、上
superstructure   上层建筑
supervise       （由上面）监视
superimpose     放在...上面
superstratum     上层
superaqueous    水上的
superterrene     地上的
3、过度、过多
superexcitation   过度兴奋
superheat       过热
supercharge     过重负载
supercool       过度冷却
supersensitive   过度敏感的
supernutrition   营养过多
supersaturate    过度饱和
",prefix
supra-超、上,"supraclass       超阶级的
supraconductivity 超导电性
supra-politics     超政治的
supranational     超国家的
supramolecular   超分子的
supramundane   超越现世的
suprarenal       肾上腺的
supramaxilla     上鄂
",prefix
sur-上、外、超,"surface         表面
surrealism      超现实主义
surpass        超过，超过
surcoat         外衣、女上衣
surcharge      超载
surmount       登上
surtax         超额税
surprint        加印于...之上
surround       围绕，包围
surplus        多余的，过剩的
",prefix
sym-共同、相同,"sympathy       同情
symmetry       对称（两边相同之意）
symphony      交响乐，和音
symmetallism   金银混合本位
symbiosis      （生物）共手、共栖
",prefix
syn-共同、相同,"synactic        共同作用的
synobronous    同时发生的
synonym       同义词
syntony        共振，谐振
synthermal     同温的
synthesis       合成
",prefix
tetra-四（在元音前作tetr-）,"tetracycline     四环素
tetrachord     四弦乐器
tetrode        四极管
tetrasyllable    四音节词
tetragon       四角形
tetraoxide     四氧化物
",prefix
trans-,"1、超过、横过、超
transoceanic    横渡大洋的
transpersonal   超越个人的
transnational    超越国界的
transcontinental  横贯大陆的
transfrontier     在国境外的
transpacific      横渡太平洋的
transatlantic     横渡大西洋的
transnormal     超出常规的
transmarine     越海的
2、转移、变换
transform       使变形，改造
transship       换船，转载于另一船
transcode      译密码
transposition   互换位置
translocation   改变位置
transplant      移植
transmigrate    移居
transport       运输
",prefix
tri-三,"tricolour        三色的
tricar          三轮汽车
triangle        三角（形）
trisyllable      三音节词
trigonometry   三角学
trilateral       三边的
triatomic       三原子的
trilingual      三种语言的
triunity        三位一体
triweekly      三周刊
trisection      三等分
trijet         三引擎喷气机
",prefix
twi-二、两,"twifortned     有二形的
twilight        黎明，黄昏，曙暮光
twifold        两倍，双重
twiblade      双叶兰
twiforked     有两叉的
",prefix
ultra-,"1、极端
ultra-democracy 极端民主
ultrapure       极纯的
ultra-reactionary 极端反动的
ultramilitant     极端好战的
ultra-fashionable 极其时髦的
ultracritical      批评过度的
ultra-right       极右的
ultraclean       极洁净的
ultrathin        极薄的
2、超、以外
ultramodern     超现代化的
ultrared        红外线的
ultrashort      超短（波）的
ultramarine     海外的
ultrasonic      超音速的
ultramontane   山外的
ultra-microscope 超显微镜
ultra-violet      紫外线的
",prefix
un-,"1、不
unreal          不真实的
uncomfortable   不舒服的
unclear         不清楚的
unfriendly       不友好的
unhappy        不快乐的
unequal        不平等的
unwelcome     不受欢迎的
unfortunate     不幸的
unclean        不洁的
uneconomic    不经济的
unkind         不和善的
unchangeable   不能改变的
2、无
unconditional    无条件的
unmanned      无人驾驶的
unsystematic    无系统的
unambitious     无野心的
unlimited       无限的
unaccented     无重音的
unfathered     无父的
unbodied       无形体的
unbounded     无边的
unaccompanied 无伴侣的
untitled        无标题的
unexampled    无先例的
3、非
unjust          非正义的
unartistic       非艺术的
unofficial       非官方的
unspecialized   非专门化的
unartificial      非人工的
unworldly      非尘世的
unsoldierly     非军人的
undesigned    非预谋的
unalloyed      非合金的
unprofessional  非职业性的
unorthodox    非正统的
unintentional   非故意的
4、未
uncorrected    未改正的
unchanged    未改变的
undecided     未定的
unawaked     未醒的
unfinished     未完成的
uncivilized     未开化的
uneducated    未受教育的
unripe        未熟的
uncut         未割的
uninvited     未经邀请的
uncoloured    未染色的
undeclared    未经宣布的
5、相反动作、取消、除去
unlock        开锁
untie         解开
unbind       解开，释放
unbutton     解开钮扣
uncap        脱帽
uncover      揭开盖子
undo         取消，解开
undress      （使）脱衣服
6、由...中弄出
untomb       从墓中掘出
unearth       由地下挖出
uncase       从盒中取出
unhouse     把...赶出屋外
uncage      放...出笼
unbosom     吐露（心事）
",prefix
under-,"1、下
underground   地下的
underworld     下层社会
underfoot      在脚下
underwrite     写于...之下
undersea      在海底
underlay       置于...之下
underline      划线于...之下
underside     下侧，下面
2、内（用于衣服）
underclothing   内衣裤
underthings    女子内衣裤
undershirt      贴身内衣
underskirt     衬裙
undervest      贴身内衣
underpants     内裤，衬裤
underwear     （总称）内衣
undershorts    短衬裤
3、不足、少
underpay       付资不足
underproduction 生产不足
underestimate   估计不足
underdress     穿衣太少
undermanned   人员不足的
underfed       喂得太少的
undersized     不够大的
underwork     少做工作
underdeveloped 不发达的
underpopulated  人口稀少的
4、副、次
undersecretary   次长、副部长
underagent      副代理人
",prefix
vice-副,"vice-chariman    副主席
vice-governor    副校长
vice-president   副总统
vice-principal    副校长
vice-premier     副总理，副首相
vice-consul     副领事
vice-minister    副部长
vice-manager    副经理
vice-regent      副摄政
",prefix
with-向后、相反,"withdraw        撤回，撤退
withstand       抵抗，反抗
withhold        阻止
",prefix
